Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-07-01	leicester lockdown map	True	West Yorkshire	United Kingdom	6
2020-07-01	tgcom	True	Veneto	Italy	100
2020-07-01	jet2holidays	True	Edinburgh City	United Kingdom	16
2020-07-01	b&q diy store	True	Lincolnshire	United Kingdom	10
2020-07-01	covid map	False	Nevada	United States	1
2020-07-01	mot check	True	Hampshire	United Kingdom	18
2020-07-01	jet2 holidays 2020	True	Edinburgh City	United Kingdom	4
2020-07-01	b&q	True	Lincolnshire	United Kingdom	52
2020-07-01	morrisons	True	Hampshire	United Kingdom	26
2020-07-01	jet2 flights	True	Edinburgh City	United Kingdom	4
2020-07-01	infonavit mi cuenta	True	Hidalgo	Mexico	25
2020-07-01	martin lewis money saving expert	True	Hampshire	United Kingdom	7
2020-07-01	jet2	True	Edinburgh City	United Kingdom	10
2020-07-01	climss iniciar sesión	True	Hidalgo	Mexico	1
2020-07-01	martin lewis	True	Hampshire	United Kingdom	4
2020-07-01	jet 2 holidays 2020	True	Edinburgh City	United Kingdom	5
2020-07-01	climss	True	Hidalgo	Mexico	100
2020-07-01	lv car insurance	True	Hampshire	United Kingdom	1
2020-07-01	hmrc login	True	Edinburgh City	United Kingdom	40
2020-07-01	love holidays	True	Hampshire	United Kingdom	10
2020-07-01	health protection scotland	True	Edinburgh City	United Kingdom	7
2020-07-01	longleat safari park	True	Hampshire	United Kingdom	2
2020-07-01	lloyds business banking	True	West Yorkshire	United Kingdom	3
2020-07-01	ticketone	True	Veneto	Italy	5
2020-07-01	hays travel	True	Edinburgh City	United Kingdom	4
2020-07-01	lockdown	True	Hampshire	United Kingdom	1
2020-07-01	covid stats	False	Nevada	United States	1
2020-07-01	halfords	True	Edinburgh City	United Kingdom	25
2020-07-01	leicester lockdown map	True	Hampshire	United Kingdom	3
2020-07-01	gov.uk	True	Edinburgh City	United Kingdom	15
2020-07-01	leicester lockdown	True	Hampshire	United Kingdom	3
2020-07-01	fco travel advice	True	Edinburgh City	United Kingdom	1
2020-07-01	island echo	True	Hampshire	United Kingdom	6
2020-07-01	face masks	True	Edinburgh City	United Kingdom	13
2020-07-01	hoseasons	True	Hampshire	United Kingdom	2
2020-07-01	edinburgh airport	True	Edinburgh City	United Kingdom	20
2020-07-01	home bargains	True	Hampshire	United Kingdom	3
2020-07-01	easyjet holidays	True	Edinburgh City	United Kingdom	2
2020-07-01	hmrc login	True	Hampshire	United Kingdom	45
2020-07-01	dvla mot check	True	Edinburgh City	United Kingdom	5
2020-07-01	hays travel	True	Hampshire	United Kingdom	1
2020-07-01	dvla	True	Edinburgh City	United Kingdom	35
2020-07-01	haven holidays 2020	True	Hampshire	United Kingdom	1
2020-07-01	love holidays	True	West Yorkshire	United Kingdom	14
2020-07-01	trentino quotidiano	True	Veneto	Italy	1
2020-07-01	dunelm	True	Edinburgh City	United Kingdom	33
2020-07-01	haven holidays	True	Hampshire	United Kingdom	1
2020-07-01	covid symptoms	False	Nevada	United States	8
2020-07-01	debenhams uk	True	Edinburgh City	United Kingdom	9
2020-07-01	halfords	True	Hampshire	United Kingdom	33
2020-07-01	currys pc world	True	Edinburgh City	United Kingdom	100
2020-07-01	gov.uk coronavirus	False	Hampshire	United Kingdom	3
2020-07-01	covid 19 scotland	False	Edinburgh City	United Kingdom	13
2020-07-01	gov.uk	True	Hampshire	United Kingdom	19
2020-07-01	coventry building society	True	Edinburgh City	United Kingdom	5
2020-07-01	furlough scheme	True	Hampshire	United Kingdom	2
2020-07-01	coronavirus update	False	Edinburgh City	United Kingdom	4
2020-07-01	foreign office travel advice	True	Hampshire	United Kingdom	2
2020-07-01	coronavirus uk	False	Edinburgh City	United Kingdom	15
2020-07-01	eurotunnel	True	Hampshire	United Kingdom	3
2020-07-01	coronavirus scotland	False	Edinburgh City	United Kingdom	15
2020-07-01	ecb cricket	True	Hampshire	United Kingdom	4
2020-07-01	coronavirus	False	Edinburgh City	United Kingdom	10
2020-07-01	easyjet uk	True	Hampshire	United Kingdom	9
2020-07-01	martin lewis	True	West Yorkshire	United Kingdom	2
2020-07-01	unipolsai	True	Veneto	Italy	2
2020-07-01	companies house beta	True	Edinburgh City	United Kingdom	29
2020-07-01	easyjet holidays	True	Hampshire	United Kingdom	1
2020-07-01	covid testing las vegas	False	Nevada	United States	6
2020-07-01	companies house	True	Edinburgh City	United Kingdom	97
2020-07-01	dvla mot check	True	Hampshire	United Kingdom	3
2020-07-01	caravan and motorhome club	True	Edinburgh City	United Kingdom	2
2020-07-01	dvla	True	Hampshire	United Kingdom	25
2020-07-01	camping and caravanning club	True	Edinburgh City	United Kingdom	2
2020-07-01	dunelm	True	Hampshire	United Kingdom	32
2020-07-01	calmac ferries	True	Edinburgh City	United Kingdom	10
2020-07-01	debenhams uk	True	Hampshire	United Kingdom	20
2020-07-01	bq superstores	True	Edinburgh City	United Kingdom	4
2020-07-01	currys pc world	True	Hampshire	United Kingdom	69
2020-07-01	boots the chemist	True	Edinburgh City	United Kingdom	13
2020-07-01	covid deaths today uk	False	Hampshire	United Kingdom	10
2020-07-01	barrhead travel	True	Edinburgh City	United Kingdom	5
2020-07-01	covid 19	False	Hampshire	United Kingdom	3
2020-07-01	b&q diy store	True	Edinburgh City	United Kingdom	10
2020-07-01	coventry building society	True	Hampshire	United Kingdom	3
2020-07-01	martin lewis money saving expert	True	West Yorkshire	United Kingdom	9
2020-07-01	unipolsai area clienti	True	Veneto	Italy	4
2020-07-01	b&q	True	Edinburgh City	United Kingdom	67
2020-07-01	coronavirus worldometers	False	Hampshire	United Kingdom	5
2020-07-01	covid testing sites	False	Nevada	United States	1
2020-07-01	b and q diy store	True	Edinburgh City	United Kingdom	3
2020-07-01	coronavirus update uk	False	Hampshire	United Kingdom	1
2020-07-01	airbnb uk	True	Edinburgh City	United Kingdom	3
2020-07-01	coronavirus update	False	Hampshire	United Kingdom	18
2020-07-01	air bridges travel news	True	Edinburgh City	United Kingdom	3
2020-07-01	coronavirus uk	False	Hampshire	United Kingdom	24
2020-07-01	sepe	True	Autonomia De La Rioja	Spain	1
2020-07-01	coronavirus statistics	False	Hampshire	United Kingdom	3
2020-07-01	seguridad social	True	Autonomia De La Rioja	Spain	100
2020-07-01	coronavirus latest	False	Hampshire	United Kingdom	1
2020-07-01	coronavirus	False	Hampshire	United Kingdom	5
2020-07-01	companies house beta	True	Hampshire	United Kingdom	17
2020-07-01	companies house	True	Hampshire	United Kingdom	89
2020-07-01	charity commission	True	Hampshire	United Kingdom	5
2020-07-01	caravan and motorhome club	True	Hampshire	United Kingdom	3
2020-07-01	brittany ferries	True	Hampshire	United Kingdom	5
2020-07-01	morrisons	True	West Yorkshire	United Kingdom	63
2020-07-01	viaggiare sicuri	True	Veneto	Italy	11
2020-07-01	bq superstores	True	Hampshire	United Kingdom	1
2020-07-01	boots the chemist	True	Hampshire	United Kingdom	5
2020-07-01	covid tracker	False	Nevada	United States	6
2020-07-01	b&q diy store	True	Hampshire	United Kingdom	18
2020-07-01	b&q	True	Hampshire	United Kingdom	49
2020-07-01	b and q diy store	True	Hampshire	United Kingdom	2
2020-07-01	airbnb uk	True	Hampshire	United Kingdom	1
2020-07-01	air bridges travel news	True	Hampshire	United Kingdom	2
2020-07-01	air bridges	True	Hampshire	United Kingdom	3
2020-07-01	acas	True	Hampshire	United Kingdom	3
2020-07-01	疫情	True	Anhui	China	1
2020-07-01	volotea sito ufficiale	True	Trentino-Alto Adige	Italy	14
2020-07-01	trentino quotidiano	True	Trentino-Alto Adige	Italy	31
2020-07-01	tgcom	True	Trentino-Alto Adige	Italy	84
2020-07-01	poste italiane	True	Trentino-Alto Adige	Italy	50
2020-07-01	miur	True	Trentino-Alto Adige	Italy	1
2020-07-01	italo treno	True	Trentino-Alto Adige	Italy	6
2020-07-01	coronavirus italia	False	Trentino-Alto Adige	Italy	20
2020-07-01	coronavirus	False	Trentino-Alto Adige	Italy	20
2020-07-01	mot check	True	West Yorkshire	United Kingdom	20
2020-07-01	volotea sito ufficiale	True	Veneto	Italy	14
2020-07-01	alto adige	True	Trentino-Alto Adige	Italy	100
2020-07-01	minsal chile	True	Region Metropolitana	Chile	15
2020-07-01	covid19	False	Nevada	United States	1
2020-07-01	minsal	True	Region Metropolitana	Chile	100
2020-07-01	covid19	False	Region Metropolitana	Chile	100
2020-07-01	coronavirus	False	Region Metropolitana	Chile	1
2020-07-01	c19	True	Region Metropolitana	Chile	58
2020-07-01	bono emergencia familiar	True	Region Metropolitana	Chile	29
2020-07-01	bono de emergencia	True	Region Metropolitana	Chile	1
2020-07-01	xunta de galicia	True	Galicia	Spain	22
2020-07-01	sepe	True	Galicia	Spain	55
2020-07-01	seguridad social	True	Galicia	Spain	100
2020-07-01	noticias última hora	True	Galicia	Spain	1
2020-07-01	ministerio de sanidad	True	Galicia	Spain	3
2020-07-01	mc mutual	True	Galicia	Spain	1
